iter	Passed	Remaining
640	1022	572
641	1024	571
642	1025	569
643	1026	567
644	1028	566
645	1029	564
646	1030	562
647	1031	560
648	1033	558
649	1034	556
650	1035	555
651	1036	553
652	1037	551
653	1038	549
654	1040	548
655	1041	546
656	1042	544
657	1044	542
658	1045	540
659	1046	539
660	1047	537
661	1048	535
662	1049	533
663	1050	531
664	1051	529
665	1052	527
666	1054	526
667	1055	524
668	1056	522
669	1058	521
670	1059	519
671	1060	517
672	1061	515
673	1062	513
674	1063	512
675	1064	510
676	1066	508
677	1067	506
678	1068	505
679	1070	503
680	1071	501
681	1072	500
682	1074	498
683	1075	496
684	1076	494
685	1077	493
686	1078	491
687	1079	489
688	1080	487
689	1081	486
690	1082	484
691	1084	482
692	1085	481
693	1087	479
694	1088	477
695	1089	475
696	1090	474
697	1091	472
698	1092	470
699	1093	468
700	1094	466
701	1096	465
702	1097	463
703	1099	462
704	1101	460
705	1102	459
706	1103	457
707	1105	455
708	1106	454
709	1107	452
710	1108	450
711	1109	448
712	1111	447
713	1112	445
714	1114	444
715	1115	442
716	1117	440
717	1118	439
718	1119	437
719	1120	435
720	1121	434
721	1122	432
722	1123	430
723	1125	428
724	1126	427
725	1127	425
726	1128	423
727	1130	422
728	1131	420
729	1132	418
730	1134	417
731	1135	415
732	1136	414
733	1137	412
734	1138	410
735	1139	408
736	1141	407
737	1142	405
738	1143	403
739	1145	402
740	1146	400
741	1147	398
742	1148	397
743	1149	395
744	1150	393
745	1151	392
746	1153	390
747	1154	388
748	1155	387
749	1156	385
750	1157	383
751	1159	382
752	1160	380
753	1161	379
754	1163	377
755	1164	375
756	1165	374
757	1166	372
758	1167	370
759	1168	369
760	1169	367
761	1170	365
762	1173	364
763	1175	363
764	1176	361
765	1178	359
766	1179	358
767	1180	356
768	1181	355
769	1183	353
770	1184	351
771	1185	350
772	1188	349
773	1190	347
774	1192	346
775	1193	344
776	1195	343
777	1196	341
778	1197	339
779	1198	338
780	1199	336
781	1201	334
782	1202	333
783	1203	331
784	1205	330
785	1206	328
786	1208	327
787	1209	325
788	1210	323
789	1211	322
790	1213	320
791	1214	318
792	1215	317
793	1216	315
794	1218	314
795	1220	312
796	1221	311
797	1222	309
798	1223	307
799	1224	306
800	1225	304
801	1226	302
802	1227	301
803	1229	299
804	1230	298
805	1234	297
806	1235	295
807	1236	293
808	1237	292
809	1238	290
810	1239	288
811	1240	287
812	1241	285
813	1243	284
814	1244	282
815	1245	280
816	1246	279
817	1248	277
818	1250	276
819	1251	274
820	1252	273
821	1253	271
822	1254	269
823	1256	268
824	1257	266
825	1258	265
826	1259	263
827	1262	262
828	1263	260
829	1265	259
830	1266	257
831	1267	255
832	1268	254
833	1269	252
834	1270	251
835	1271	249
836	1274	248
837	1277	246
838	1278	245
839	1279	243
840	1280	242
841	1281	240
842	1283	238
843	1284	237
844	1285	235
845	1286	234
846	1287	232
847	1288	231
848	1289	229
849	1291	227
850	1292	226
851	1293	224
852	1294	223
853	1296	221
854	1297	219
855	1298	218
856	1300	216
857	1301	215
858	1303	213
859	1304	212
860	1306	210
861	1307	209
862	1308	207
863	1309	206
864	1310	204
865	1311	202
866	1312	201
867	1314	199
868	1315	198
869	1316	196
870	1317	195
871	1318	193
872	1319	191
873	1321	190
874	1322	188
875	1324	187
876	1325	185
877	1326	184
878	1327	182
879	1328	181
880	1330	179
881	1331	178
882	1332	176
883	1333	174
884	1334	173
885	1335	171
886	1337	170
887	1338	168
888	1339	167
889	1341	165
890	1342	164
891	1343	162
892	1344	161
893	1345	159
894	1347	158
895	1348	156
896	1349	154
897	1351	153
898	1352	151
899	1353	150
900	1355	148
901	1357	147
902	1358	145
903	1359	144
904	1360	142
905	1361	141
906	1362	139
907	1364	138
908	1365	136
909	1366	135
910	1368	133
911	1369	132
912	1371	130
913	1372	129
914	1373	127
915	1374	126
916	1375	124
917	1376	122
918	1377	121
919	1378	119
920	1379	118
921	1381	116
922	1382	115
923	1383	113
924	1385	112
925	1386	110
926	1387	109
927	1388	107
928	1389	106
929	1391	104
930	1392	103
931	1393	101
932	1394	100
933	1396	98
934	1397	97
935	1399	95
936	1400	94
937	1402	92
938	1403	91
939	1404	89
940	1405	88
941	1406	86
942	1407	85
943	1408	83
944	1410	82
945	1412	80
946	1413	79
947	1415	77
948	1416	76
949	1417	74
950	1418	73
951	1419	71
952	1421	70
953	1422	68
954	1424	67
955	1425	65
956	1426	64
957	1427	62
958	1429	61
959	1430	59
960	1431	58
961	1432	56
962	1433	55
963	1434	53
964	1435	52
965	1436	50
966	1437	49
967	1439	47
968	1440	46
969	1441	44
970	1443	43
971	1444	41
972	1445	40
973	1446	38
974	1447	37
975	1448	35
976	1449	34
977	1450	32
978	1451	31
979	1452	29
980	1454	28
981	1455	26
982	1456	25
983	1458	23
984	1459	22
985	1460	20
986	1461	19
987	1462	17
988	1463	16
989	1464	14
990	1466	13
991	1467	11
992	1468	10
993	1469	8
994	1471	7
995	1472	5
996	1473	4
997	1474	2
998	1475	1
999	1476	0
